region,rajon,fio,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
Минская,Клецкий,Тихановская С.Г.,,,,,,,,,,,
Минская,Клецкий,Цепкало В.В.,,,,,,,,,,,
Минская,Клецкий,Черечень С.В.,,,,,,,,,,,
Минская,Копыльский,Бабарико В.Д.,552,1,551,114,,,,114,,,551
Минская,Копыльский,Дмитриев А.В.,,,,,,,,,,,
Минская,Копыльский,Канопацкая А.А.,109,2,107,22,2,,,22,2,,105
Минская,Копыльский,Лукашенко А.Г.,11505,13,11492,2375,6,,,2375,6,,11486
Минская,Копыльский,Тихановская С.Г.,,,,,,,,,,,
Минская,Копыльский,Цепкало В.В.,172,172,35,20.35,5.71,,,35,2,,170
Минская,Копыльский,Черечень С.В.,,,,,,,,,,,
Минская,Крупский,Бабарико В.Д.,465,16,449,94,13,,,94,13,,436
Минская,Крупский,Дмитриев А.В.,,,,,,,,,,,
Минская,Крупский,Канопацкая А.А.,9,2,7,2,,,,2,,,7
Минская,Крупский,Лукашенко А.Г.,9507,27,9480,1991,7,,,1991,7,,9473
Минская,Крупский,Тихановская С.Г.,,,,,,,,,,,
Минская,Крупский,Цепкало В.В.,,,,,,,,,,,
Минская,Крупский,Черечень С.В.,,,,,,,,,,,
Минская,Любанский,Бабарико В.Д.,465,19,446,112,,,,112,,,446
Минская,Любанский,Дмитриев А.В.,1544,18,1526,382,,,,382,,,1526
Минская,Любанский,Канопацкая А.А.,8,8,2,25,,,,2,,,8
Минская,Любанский,Лукашенко А.Г.,14796,34,14762,3691,11,,,3691,11,,14751
Минская,Любанский,Тихановская С.Г.,,,,,,,,,,,
Минская,Любанский,Цепкало В.В.,,,,,,,,,,,
Минская,Любанский,Черечень С.В.,,,,,,,,,,,
Минская,Логойский,Бабарико В.Д.,1455,125,1330,266,43,200,34,466,77,1330,
Минская,Логойский,Дмитриев А.В.,52,5,47,10,1,,,10,1,,46
Минская,Логойский,Канопацкая А.А.,436,,436,88,15,66,9,154,241,436,
Минская,Логойский,Лукашенко А.Г.,11440,,11440,2288,,,,2288,,,11440
Минская,Логойский,Тихановская С.Г.,,,,,,,,,,,
Минская,Логойский,Цепкало В.В.,276,3,273,55,9,41,7,96,16,273,
Минская,Логойский,Черечень С.В.,,,,,,,,,,,
Минская,Мядельский,Бабарико В.Д.,,,,,,,,,,,
Минская,Мядельский,Дмитриев А.В.,,,,,,,,,,,
Минская,Мядельский,Канопацкая А.А.,,,,,,,,,,,
Минская,Мядельский,Лукашенко А.Г.,9024,42,8982,1976,6,,,1976,6,,8976
Минская,Мядельский,Тихановская С.Г.,,,,,,,,,,,
Минская,Мядельский,Цепкало В.В.,327,327,72,22,19,15,,121,22,,
Минская,Мядельский,Черечень С.В.,,,,,,,,,,,
Минская,Минский,Бабарико В.Д.,23932,980,22952,4590,1263,3442,1001,8032,2264,22952,
Минская,Минский,Дмитриев А.В.,878,48,830,166,20,,,166,20,,810
Минская,Минский,Канопацкая А.А.,307,85,222,49,7,,,49,7,,215
Минская,Минский,Лукашенко А.Г.,30865,2184,28681,5736,85,,,5736,85,,28596
Минская,Минский,Тихановская С.Г.,2787,29,2758,554,64,,,554,64,,2694
Минская,Минский,Цепкало В.В.,6645,192,6453,1341,373,969,251,2310,624,6453,
Минская,Минский,Черечень С.В.,3431,66,3365,673,62,,,673,62,,3303
Минская,Молодечненский,Бабарико В.Д.,5566,190,5376,1183,1,,,1183,1,,5375
Минская,Молодечненский,Дмитриев А.В.,260,6,254,56,,,,56,,,254
Минская,Молодечненский,Канопацкая А.А.,,,,,,,,,,,
Минская,Молодечненский,Лукашенко А.Г.,24792,39,24753,5451,3,,,5451,3,,24750
Минская,Молодечненский,Тихановская С.Г.,2446,56,2390,527,5,,,527,5,,2385
Минская,Молодечненский,Цепкало В.В.,1702,27,1675,369,1,,,369,1,,1674
Минская,Молодечненский,Черечень С.В.,2086,2086,459,22,,,,459,,,2086
Минская,Несвижский,Бабарико В.Д.,1258,7,1251,263,71,189,75,452,146,1251,
Минская,Несвижский,Дмитриев А.В.,252,6,246,52,4,,,52,4,,242
Минская,Несвижский,Канопацкая А.А.,,,,,,,,,,,
Минская,Несвижский,Лукашенко А.Г.,8323,33,8290,1741,,,,1741,,,8290
Минская,Несвижский,Тихановская С.Г.,602,,602,126,5,,,126,5,,597
Минская,Несвижский,Цепкало В.В.,62,4,58,12,,,,12,,,58
Минская,Несвижский,Черечень С.В.,1174,1,1173,246,13,,,246,13,,1160
Минская,Пуховичский,Бабарико В.Д.,2278,71,2207,486,30,,,486,30,,2177
Минская,Пуховичский,Дмитриев А.В.,78,3,75,17,3,12,2,29,5,75,
Минская,Пуховичский,Канопацкая А.А.,48,2,46,10,4,7,3,17,7,46,
Минская,Пуховичский,Лукашенко А.Г.,12933,36,12897,2837,17,,,2837,17,,12880
Минская,Пуховичский,Тихановская С.Г.,,,,,,,,,,,
Минская,Пуховичский,Цепкало В.В.,567,8,559,124,13,,,124,13,,546
Минская,Пуховичский,Черечень С.В.,90,12,78,17,,,,17,,,78
Минская,Слуцкий,Бабарико В.Д.,2254,3,2251,451,1,,,451,1,,2250
Минская,Слуцкий,Дмитриев А.В.,2029,1,2028,406,36,,,406,36,,1992
Минская,Слуцкий,Канопацкая А.А.,430,1,429,86,14,65,10,151,24,429,
Минская,Слуцкий,Лукашенко А.Г.,14363,23,14340,2868,3,,,2868,3,,14337
Минская,Слуцкий,Тихановская С.Г.,1084,2,1082,217,8,,,217,8,,1074
Минская,Слуцкий,Цепкало В.В.,675,2,673,135,,,,135,,,673
Минская,Слуцкий,Черечень С.В.,,,,,,,,,,,
Минская,Смолевичский,Бабарико В.Д.,2202,176,2026,408,46,,,408,46,,1980
Минская,Смолевичский,Дмитриев А.В.,30,30,6,20,16.7,16.7,,11,1,,29
Минская,Смолевичский,Канопацкая А.А.,123,73,50,10,2,8,,18,2,,48
Минская,Смолевичский,Лукашенко А.Г.,11115,2,11113,2234,21,,,2234,21,,11092
Минская,Смолевичский,Тихановская С.Г.,585,11,574,116,19,87,17,203,36,574,
Минская,Смолевичский,Цепкало В.В.,508,23,485,98,32,73,29,171,61,485,
Минская,Смолевичский,Черечень С.В.,1074,7,1067,215,7,,,215,7,,1060
Минская,Солигорский,Бабарико В.Д.,5197,229,4968,1079,6,,,1079,6,,4962
Минская,Солигорский,Дмитриев А.В.,298,13,285,62,7,,,62,7,,278
Минская,Солигорский,Канопацкая А.А.,,,,,,,,,,,
Минская,Солигорский,Лукашенко А.Г.,19022,55,18967,4151,1,,,4151,1,,18966
Минская,Солигорский,Тихановская С.Г.,2213,40,2173,476,2,,,476,2,,2171
Минская,Солигорский,Цепкало В.В.,1006,20,986,215,5,,,215,5,,981
Минская,Солигорский,Черечень С.В.,,,,,,,,,,,
Минская,Стародорожский,Бабарико В.Д.,,,,,,,,,,,
Минская,Стародорожский,Дмитриев А.В.,,,,,,,,,,,
Минская,Стародорожский,Канопацкая А.А.,12,,12,3,,,,3,,,12
Минская,Стародорожский,Лукашенко А.Г.,8191,9,8182,2046,8,,,2046,8,,8174
Минская,Стародорожский,Тихановская С.Г.,,,,,,,,,,,
Минская,Стародорожский,Цепкало В.В.,102,3,99,25,,,,25,,,99
Минская,Стародорожский,Черечень С.В.,,,,,,,,,,,
Минская,Столбцовский,Бабарико В.Д.,1018,48,970,194,15,,,194,15,,955
Минская,Столбцовский,Дмитриев А.В.,400,26,374,75,30,56,56,131,86,374,
Минская,Столбцовский,Канопацкая А.А.,,,,,,,,,,,
Минская,Столбцовский,Лукашенко А.Г.,8219,20,8199,1640,9,,,1640,9,,8190
Минская,Столбцовский,Тихановская С.Г.,602,20,582,116,5,,,116,5,,577
Минская,Столбцовский,Цепкало В.В.,,,,,,,,,,,
Минская,Столбцовский,Черечень С.В.,348,12,336,67,6,,,67,6,,330
Минская,Узденский,Бабарико В.Д.,554,18,536,124,9,,,124,9,,527
Минская,Узденский,Дмитриев А.В.,832,2,830,191,28,,,191,28,,802
Минская,Узденский,Канопацкая А.А.,24,1,23,6,2,4,,10,2,23,
Минская,Узденский,Лукашенко А.Г.,8712,205,8507,1957,2,,,1957,2,,8505
Минская,Узденский,Тихановская С.Г.,,,,,,,,,,,
Минская,Узденский,Цепкало В.В.,,,,,,,,,,,
Минская,Узденский,Черечень С.В.,1005,1,1004,231,,,,23,,,1004
Минская,Вилейский,Бабарико В.Д.,1814,70,1744,384,3,,,384,3,,1741
Минская,Вилейский,Дмитриев А.В.,,,,,,,,,,,
Минская,Вилейский,Канопацкая А.А.,,,,,,,,,,,
Минская,Вилейский,Лукашенко А.Г.,12609,41,12568,2774,5,,,2774,5,,12563
Минская,Вилейский,Тихановская С.Г.,,,,,,,,,,,
Минская,Вилейский,Цепкало В.В.,,,,,,,,,,,
Минская,Вилейский,Черечень С.В.,,,,,,,,,,,
Минская,Воложинский,Бабарико В.Д.,1291,53,1238,271,,,,271,,,1238
Минская,Воложинский,Дмитриев А.В.,,,,,,,,,,,
Минская,Воложинский,Канопацкая А.А.,,,,,,,,,,,
Минская,Воложинский,Лукашенко А.Г.,9098,54,9044,1990,,,,1990,,,9044
Минская,Воложинский,Тихановская С.Г.,,,,,,,,,,,
Минская,Воложинский,Цепкало В.В.,212,3,209,47,,,,47,,,209
Минская,Воложинский,Черечень С.В.,,,,,,,,,,,
