region,rajon,fio,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
Витебская,Городокский,Черечень С.В.,,,,,,,,,,,
Витебская,Оршанский,Бабарико В.Д.,2701,84,2617,550,86,393,62,943,148,2617,
Витебская,Оршанский,Дмитриев А.В.,1053,4,1049,221,31,,,,,,1018
Витебская,Оршанский,Канопацкая А.А.,4263,23,4240,891,146,636,52,1527,198,,4042
Витебская,Оршанский,Лукашенко А.Г.,34914,69,34845,7318,25,,,7318,25,,34820
Витебская,Оршанский,Тихановская С.Г.,1783,8,1775,373,2,,,373,2,,1773
Витебская,Оршанский,Цепкало В.В.,458,1,457,96,15,69,12,165,27,457,
Витебская,Оршанский,Черечень С.В.,6743,134,6609,1388,257,992,85,2380,342,,6267
Витебская,Витебский,Тихановская С.Г.,210,9,201,44,,,,44,,,201
Витебская,Лиозненский,Лукашенко А.Г.,3453,1,3452,768,,,,768,,,3452
Витебская,Железнодорожный в г. Витебске,Черечень С.В.,322,25,297,60,,,,60,,,297
Витебская,Железнодорожный в г. Витебске,Цепкало В.В.,379,12,367,74,,,,74,,,367
Витебская,Сенненский,Лукашенко А.Г.,5067,13,5054,1024,,,,1024,,,5054
Витебская,Железнодорожный в г. Витебске,Дмитриев А.В.,79,25,54,11,,,,11,,,54
Витебская,Витебский,Лукашенко А.Г.,5868,55,5813,1279,,,,1279,,,5813
Витебская,Витебский,Черечень С.В.,106,12,94,21,,,,21,,,94
Витебская,Чашникский,Лукашенко А.Г.,4427,,4427,974,,,,974,,,4427
Витебская,Миорский,Дмитриев А.В.,22,,22,5,,,,5,,,22
Витебская,Докшицкий,Лукашенко А.Г.,3788,14,3774,862,,,,862,,,3774
Витебская,Докшицкий,Цепкало В.В.,79,,79,18,,,,18,,,79
Витебская,Бешенковичский,Дмитриев А.В.,784,,784,180,,,,180,,,784
Витебская,Бешенковичский,Лукашенко А.Г.,2414,57,2357,542,,,,542,,,2357
Витебская,Браславский,Цепкало В.В.,139,6,133,33,,,,33,,,133
Витебская,Поставский,Лукашенко А.Г.,5310,7,5303,1332,,,,1332,,,5303
Витебская,Глубокский,Дмитриев А.В.,15,1,14,4,,,,,4,,14
Витебская,Железнодорожный в г. Витебске,Канопацкая А.А.,,,,,,,,,,,
Витебская,Браславский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Браславский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Браславский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Браславский,Черечень С.В.,,,,,,,,,,,
Витебская,Витебский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Витебский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Верхнедвинский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Верхнедвинский,Дмитриев А.В.,,,,,,,,,,,
Витебская,Верхнедвинский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Верхнедвинский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Верхнедвинский,Черечень С.В.,,,,,,,,,,,
Витебская,Ушачский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Ушачский,Дмитриев А.В.,1,,1,1,,,,1,,,1
Витебская,Ушачский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Ушачский,Лукашенко А.Г.,2061,4,2057,480,,,,2057,,,2057
Витебская,Ушачский,Тихановская С.Г.,,,,,,,,,,,
Витебская,Ушачский,Цепкало В.В.,,,,,,,,,,,
Витебская,Ушачский,Черечень С.В.,,,,,,,,,,,
Витебская,Толочинский,Бабарико В.Д.,,,,,,,,,,,
Витебская,Толочинский,Канопацкая А.А.,,,,,,,,,,,
Витебская,Толочинский,Тихановская С.Г.,,,,,,,,,,,
