Дата подачи документов,"Лицо, имеющее намерение выдвинуться кандидатом в Президенты",Год рождения,"Должность (занятие), место работы (учебы)",Партийность,Место жительства,Руководитель инициативной группы
15.05.2020,КАНОПАЦКАЯ Анна Анатольевна,1976,индивидуальный предприниматель,беспартийная,г. Минск,Труханович Дарья Анатольевна
15.05.2020,ПРОВАЛЬСКИЙ Владимир Александрович,1959,индивидуальный предприниматель,беспартийный,"г. Витебск, Витебская обл.",Провальский Олег Владимирович
15.05.2020,ДМИТРИЕВ Андрей Владимирович,1981,"сопредседатель, РИПОО «Говори правду»",беспартийный,г. Минск,Короткевич Татьяна Николаевна
15.05.2020,КОЗЛОВ Николай Георгиевич,1967,"и.о. председателя, Объединенная гражданская партия",Объединенная гражданская партия,г. Минск,Козлов Николай Георгиевич
15.05.2020,СПИРИН Павел Николаевич,1984,"председатель правления, ЖСПК № 956",беспартийный,"д. Дегтяные, Копыльский р-н, Минская обл.",Махнач Ирина Дмитриевна
15.05.2020,ТАБОЛИЧ Александр Григорьевич,1979,"мастер перманентного макияжа и татуировки, ООО «Скинарт»",беспартийный,г. Минск,Зыблюк Виталий Олегович
15.05.2020,МОЖЕЙКО Андрей Викторович,1972,временно не работает,беспартийный,"г. Гомель, Гомельская обл.",Можейко Андрей Викторович
15.05.2020,ТИХАНОВСКАЯ Светлана Георгиевна,1982,временно не работает,беспартийная,г. Минск,Тихановский Сергей Леонидович
15.05.2020,ЧУДИНОВИЧ Юрий Евгеньевич,1972,индивидуальный предприниматель,беспартийный,"г. Барановичи, Брестская обл.",Потоцкая Тамара Антоновна
15.05.2020,НОВИКОВ Юрий Владимирович,1962,"вахтер, ООО «Экструзионные технологии»",беспартийный,"г. Могилев, Могилевская обл.",Троцкий Валентин Иванович
15.05.2020,АДАМОВИЧ Марина Михайловна,1961,пенсионер,беспартийная,г. Минск,Статкевич Николай Викторович
15.05.2020,ВОЛЫНЕЦ Михаил Леонтьевич,1974,ремесленник,беспартийный,г. Минск,Волынец Михаил Леонтьевич
15.05.2020,ПЕРЕВОЩИКОВ Валерий Иванович,1949,пенсионер,беспартийный,г. Минск,
